"OPX2OSBS.Code.or.Value","OPX2OSBS.Value.Description","OPX2OSBS.Count","OPX2OSBS.Cumulative","OPX2OSBS.Skip.to.Item"
"0","Test not performed",20,20,NA
"1","0/3",2683,2703,NA
"2","1/3",437,3140,NA
"3","2/3",102,3242,NA
"4","3/3",40,3282,NA
".","Missing",581,3863,NA
