"ARQ022A.Code.or.Value","ARQ022A.Value.Description","ARQ022A.Count","ARQ022A.Cumulative","ARQ022A.Skip.to.Item"
"1 to 66","Range of Values",534,534,NA
"777","Refused",0,534,NA
"999","Don't Know",4,538,NA
".","Missing",4568,5106,NA
