"SXQ400.Code.or.Value","SXQ400.Value.Description","SXQ400.Count","SXQ400.Cumulative","SXQ400.Skip.to.Item"
"0 to 9999","Range of Values",1346,1346,NA
"77777","Refused",5,1351,NA
"99999","Don't know",1,1352,NA
".","Missing",3273,4625,NA
