"MCQ240q.Code.or.Value","MCQ240q.Value.Description","MCQ240q.Count","MCQ240q.Cumulative","MCQ240q.Skip.to.Item"
"44 to 66","Range of Values",3,3,NA
"80","80 years or older",1,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",9571,9575,NA
