"URDOMOLC.Code.or.Value","URDOMOLC.Value.Description","URDOMOLC.Count","URDOMOLC.Cumulative","URDOMOLC.Skip.to.Item"
"0","At or above the detection limit",4,4,NA
"1","Below lower detection limit",2570,2574,NA
".","Missing",120,2694,NA
