"SLQ330.Code.or.Value","SLQ330.Value.Description","SLQ330.Count","SLQ330.Cumulative","SLQ330.Skip.to.Item"
"Usual wake time on weekends","Value was recorded",6102,6102,NA
"77777","Refused",1,6103,NA
"99999","Don't know",26,6129,NA
"< blank >","Missing",32,6161,NA
