"WTSPO37.Code.or.Value","WTSPO37.Value.Description","WTSPO37.Count","WTSPO37.Cumulative","WTSPO37.Skip.to.Item"
"0.0000000 to 850682.9615700","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
