"WBXP035.Code.or.Value","WBXP035.Value.Description","WBXP035.Count","WBXP035.Cumulative","WBXP035.Skip.to.Item"
"-53.1644 to 144.6525","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
