"RFXT103.Code.or.Value","RFXT103.Value.Description","RFXT103.Count","RFXT103.Cumulative","RFXT103.Skip.to.Item"
"893 to 902","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
