"WBXF030.Code.or.Value","WBXF030.Value.Description","WBXF030.Count","WBXF030.Cumulative","WBXF030.Skip.to.Item"
"865.5366 to 865.5366","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
