"WTSPO23.Code.or.Value","WTSPO23.Value.Description","WTSPO23.Count","WTSPO23.Cumulative","WTSPO23.Skip.to.Item"
"0.0000000 to 856147.4437000","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
