"TYXP052.Code.or.Value","TYXP052.Value.Description","TYXP052.Count","TYXP052.Cumulative","TYXP052.Skip.to.Item"
"-92 to 185","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
