"OPXSF1FO.Code.or.Value","OPXSF1FO.Value.Description","OPXSF1FO.Count","OPXSF1FO.Cumulative","OPXSF1FO.Skip.to.Item"
"0","Good/fair",2753,2753,NA
"1","Borderline",336,3089,NA
"2","Poor",116,3205,NA
".","Missing",658,3863,NA
