"LBD189LC.Code.or.Value","LBD189LC.Value.Description","LBD189LC.Count","LBD189LC.Cumulative","LBD189LC.Skip.to.Item"
"0","At or above the detection limit",121,121,NA
"1","Below lower detection limit",142,263,NA
".","Missing",2,265,NA
