"URXMU5.Code.or.Value","URXMU5.Value.Description","URXMU5.Count","URXMU5.Cumulative","URXMU5.Skip.to.Item"
"0.014 to 757","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
