"LBDRBF.Code.or.Value","LBDRBF.Value.Description","LBDRBF.Count","LBDRBF.Cumulative","LBDRBF.Skip.to.Item"
"87.4 to 3125.8","Range of Values",8764,8764,NA
".","Missing",1071,9835,NA
