"BPQ040A.Code.or.Value","BPQ040A.Value.Description","BPQ040A.Count","BPQ040A.Cumulative","BPQ040A.Skip.to.Item"
"1","Yes",1942,1942,""
"2","No",192,2134,"BPQ080"
"7","Refused",1,2135,"BPQ080"
"9","Don't know",2,2137,"BPQ080"
".","Missing",4024,6161,""
