"RFXT142.Code.or.Value","RFXT142.Value.Description","RFXT142.Count","RFXT142.Cumulative","RFXT142.Skip.to.Item"
"1238 to 1247","Range of Values",33673,33673,NA
".","Missing",48,33721,NA
