"TBQ050.Code.or.Value","TBQ050.Value.Description","TBQ050.Count","TBQ050.Cumulative","TBQ050.Skip.to.Item"
"1","Yes",30,30,NA
"2","No",13,43,NA
"7","Refused",0,43,NA
"9","Don't know",1,44,NA
".","Missing",8117,8161,NA
