"VIQ090.Code.or.Value","VIQ090.Value.Description","VIQ090.Count","VIQ090.Cumulative","VIQ090.Skip.to.Item"
"1","Yes",263,263,""
"2","No",3747,4010,"VIQ310"
"7","Refused",0,4010,"VIQ310"
"9","Don't know",14,4024,"VIQ310"
".","Missing",3149,7173,""
