"LBDZDBLC.Code.or.Value","LBDZDBLC.Value.Description","LBDZDBLC.Count","LBDZDBLC.Cumulative","LBDZDBLC.Skip.to.Item"
"0","Result below the limit of detection.",439,439,NA
"1","Result at or above the limit of detection.",205,644,NA
".","Missing",207,851,NA
