"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"4 to 10","Range of Values",2926,2926,NA
"3","3 pounds or less",66,2992,NA
"11","11 pounds or more",15,3007,NA
"7777","Refused",0,3007,NA
"9999","Don't know",85,3092,NA
".","Missing",1,3093,NA
