"DPQ100.Code.or.Value","DPQ100.Value.Description","DPQ100.Count","DPQ100.Cumulative","DPQ100.Skip.to.Item"
"0","Not at all difficult,",2480,2480,NA
"1","Somewhat difficult,",714,3194,NA
"2","Very difficult,",132,3326,NA
"3","Extremely difficult",33,3359,NA
"7","Refused",1,3360,NA
"9","Don't know",2,3362,NA
".","Missing",2171,5533,NA
