"AAXBDPLW.Code.or.Value","AAXBDPLW.Value.Description","AAXBDPLW.Count","AAXBDPLW.Cumulative","AAXBDPLW.Skip.to.Item"
"1","Yes",71,71,NA
"2","No",6606,6677,NA
"3","Pillow not present on bed",251,6928,NA
"9","Don't know",7,6935,NA
".","Missing",2505,9440,NA
