"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.113 to 30.302","Range of Values",2834,2834,NA
".","Missing",202,3036,NA
