"RFXC089.Code.or.Value","RFXC089.Value.Description","RFXC089.Count","RFXC089.Cumulative","RFXC089.Skip.to.Item"
"-7.686 to 5.308","Range of Values",33694,33694,NA
".","Missing",27,33721,NA
