"MGXH1T1E.Code.or.Value","MGXH1T1E.Value.Description","MGXH1T1E.Count","MGXH1T1E.Cumulative","MGXH1T1E.Skip.to.Item"
"1","Maximal",7466,7466,NA
"2","Questionable",332,7798,NA
".","Missing",493,8291,NA
