"WTIREP13.Code.or.Value","WTIREP13.Value.Description","WTIREP13.Count","WTIREP13.Cumulative","WTIREP13.Skip.to.Item"
"0 to 236237.26884","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
