"CSXNAPT.Code.or.Value","CSXNAPT.Value.Description","CSXNAPT.Count","CSXNAPT.Cumulative","CSXNAPT.Skip.to.Item"
"1","Salty",2675,2675,NA
"2","Bitter",125,2800,NA
"3","Something else",102,2902,NA
"4","No Taste",90,2992,NA
"5","Sour",225,3217,NA
".","Missing",491,3708,NA
