"OHQ870.Code.or.Value","OHQ870.Value.Description","OHQ870.Count","OHQ870.Cumulative","OHQ870.Skip.to.Item"
"0 to 9","Range of Values",4741,4741,NA
"77","Refused",0,4741,NA
"99","Don't know",0,4741,NA
".","Missing",4156,8897,NA
