"OHD26LAM.Code.or.Value","OHD26LAM.Value.Description","OHD26LAM.Count","OHD26LAM.Cumulative","OHD26LAM.Skip.to.Item"
"0 to 8","Range of Values",2421,2421,NA
"99","Calculation cannot be determined",132,2553,NA
".","Missing",4165,6718,NA
