"DBQ071A.Code.or.Value","DBQ071A.Value.Description","DBQ071A.Count","DBQ071A.Cumulative","DBQ071A.Skip.to.Item"
"10","Whole or regular,",1162,1162,NA
"77","Refused",0,1162,NA
"99","Don't know",4,1166,NA
".","Missing",8956,10122,NA
