"DXXPT54X.Code.or.Value","DXXPT54X.Value.Description","DXXPT54X.Count","DXXPT54X.Cumulative","DXXPT54X.Skip.to.Item"
"716 to 1255.4","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
