"URDMZPLC.Code.or.Value","URDMZPLC.Value.Description","URDMZPLC.Count","URDMZPLC.Cumulative","URDMZPLC.Skip.to.Item"
"0","At or above the detection limit",2657,2657,NA
"1","Below lower detection limit",105,2762,NA
".","Missing",224,2986,NA
