"LBCBB1.Code.or.Value","LBCBB1.Value.Description","LBCBB1.Count","LBCBB1.Cumulative","LBCBB1.Skip.to.Item"
"1.131 to 572.2","Range of Values",265,265,NA
".","Missing",0,265,NA
