"OHD07LAS.Code.or.Value","OHD07LAS.Value.Description","OHD07LAS.Count","OHD07LAS.Cumulative","OHD07LAS.Skip.to.Item"
"0 to 7","Range of Values",2213,2213,NA
"99","Calculation cannot be determined",299,2512,NA
".","Missing",4206,6718,NA
