"RFXT107.Code.or.Value","RFXT107.Value.Description","RFXT107.Count","RFXT107.Cumulative","RFXT107.Skip.to.Item"
"929 to 937","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
