"DEX2HDCF.Code.or.Value","DEX2HDCF.Value.Description","DEX2HDCF.Count","DEX2HDCF.Cumulative","DEX2HDCF.Skip.to.Item"
"1","High",9,9,NA
"2","Moderate",22,31,NA
"3","Low",29,60,NA
"9","Not determined, picture missing",0,60,NA
".","Missing",2932,2992,NA
