"VTQ200C.Code.or.Value","VTQ200C.Value.Description","VTQ200C.Count","VTQ200C.Cumulative","VTQ200C.Skip.to.Item"
"1","Yes",261,261,NA
"2","No",387,648,NA
"7","Refused",0,648,NA
"9","Don't know",0,648,NA
".","Missing",203,851,NA
