"LBXSCK.Code.or.Value","LBXSCK.Value.Description","LBXSCK.Count","LBXSCK.Cumulative","LBXSCK.Skip.to.Item"
"16 to 16959","Range of Values",5899,5899,NA
".","Missing",502,6401,NA
