"ARQ125E.Code.or.Value","ARQ125E.Value.Description","ARQ125E.Count","ARQ125E.Cumulative","ARQ125E.Skip.to.Item"
"1","Yes",29,29,NA
"2","No",5067,5096,NA
"7","Refused",0,5096,NA
"9","Don't know",10,5106,NA
".","Missing",0,5106,NA
