"CFQ020.Code.or.Value","CFQ020.Value.Description","CFQ020.Count","CFQ020.Cumulative","CFQ020.Skip.to.Item"
"1","Yes",1209,1209,NA
"2","No",524,1733,NA
".","Missing",139,1872,NA
