"DXDTOBMD.Code.or.Value","DXDTOBMD.Value.Description","DXDTOBMD.Count","DXDTOBMD.Cumulative","DXDTOBMD.Skip.to.Item"
"0.592 to 1.728","Range of Values",3669,3669,NA
".","Missing",1445,5114,NA
