"DXXOFBMD.Code.or.Value","DXXOFBMD.Value.Description","DXXOFBMD.Count","DXXOFBMD.Cumulative","DXXOFBMD.Skip.to.Item"
"0.37 to 1.55","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
