"OHQ850.Code.or.Value","OHQ850.Value.Description","OHQ850.Count","OHQ850.Cumulative","OHQ850.Skip.to.Item"
"1","Yes",1174,1174,NA
"2","No",3547,4721,NA
"7","Refused",0,4721,NA
"9","Don't know",20,4741,NA
".","Missing",4156,8897,NA
