"CSQ110.Code.or.Value","CSQ110.Value.Description","CSQ110.Count","CSQ110.Cumulative","CSQ110.Skip.to.Item"
"1","Yes",243,243,""
"2","No",3570,3813,"CSQ130"
"7","Refused",0,3813,"CSQ130"
"9","Don't know",2,3815,"CSQ130"
".","Missing",0,3815,""
