"SLQ320.Code.or.Value","SLQ320.Value.Description","SLQ320.Count","SLQ320.Cumulative","SLQ320.Skip.to.Item"
"Usual sleep time on weekends","Value was recorded",6090,6090,NA
"77777","Refused",1,6091,NA
"99999","Don't know",39,6130,NA
"< blank >","Missing",31,6161,NA
