"BPQ050B.Code.or.Value","BPQ050B.Value.Description","BPQ050B.Count","BPQ050B.Cumulative","BPQ050B.Skip.to.Item"
"1","Yes",678,678,NA
"2","No",187,865,NA
"7","Refused",0,865,NA
"9","Don't know",2,867,NA
".","Missing",5346,6213,NA
