"DXDLATOT.Code.or.Value","DXDLATOT.Value.Description","DXDLATOT.Count","DXDLATOT.Cumulative","DXDLATOT.Skip.to.Item"
"979.5 to 12317.3","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
