"DMDSCHOL.Code.or.Value","DMDSCHOL.Value.Description","DMDSCHOL.Count","DMDSCHOL.Cumulative","DMDSCHOL.Skip.to.Item"
"1","In school",1738,1738,NA
"2","On vacation from school (between grades)",471,2209,NA
"3","Neither in school or on vacation from school (between grades)",143,2352,NA
"7","Refused",0,2352,NA
"9","Don't know",1,2353,NA
".","Missing",8184,10537,NA
