"DEQ1FHFO.Code.or.Value","DEQ1FHFO.Value.Description","DEQ1FHFO.Count","DEQ1FHFO.Cumulative","DEQ1FHFO.Skip.to.Item"
"1","Present",25,25,NA
".","Missing",2967,2992,NA
