"LBXBEC.Code.or.Value","LBXBEC.Value.Description","LBXBEC.Count","LBXBEC.Cumulative","LBXBEC.Skip.to.Item"
"0.6 to 416","Range of Values",6582,6582,NA
".","Missing",853,7435,NA
