"RFXC054.Code.or.Value","RFXC054.Value.Description","RFXC054.Count","RFXC054.Cumulative","RFXC054.Skip.to.Item"
"-8.174 to 5.268","Range of Values",33702,33702,NA
".","Missing",19,33721,NA
