"DXXVFATM.Code.or.Value","DXXVFATM.Value.Description","DXXVFATM.Count","DXXVFATM.Cumulative","DXXVFATM.Skip.to.Item"
"8.51 to 2003.75","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
