"CIQP64.Code.or.Value","CIQP64.Value.Description","CIQP64.Count","CIQP64.Cumulative","CIQP64.Skip.to.Item"
"0 to 85","Range of Values",17,17,NA
"777","Refused",0,17,NA
"999","Don't know",0,17,NA
".","Missing",833,850,NA
