"DLQ100.Code.or.Value","DLQ100.Value.Description","DLQ100.Count","DLQ100.Cumulative","DLQ100.Skip.to.Item"
"1","Daily",861,861,NA
"2","Weekly",807,1668,NA
"3","Monthly",675,2343,NA
"4","A few times a year",1967,4310,NA
"5","Never",1437,5747,NA
"7","Refused",0,5747,NA
"9","Don't know",15,5762,NA
".","Missing",3136,8898,NA
