"LBXDWT.Code.or.Value","LBXDWT.Value.Description","LBXDWT.Count","LBXDWT.Cumulative","LBXDWT.Skip.to.Item"
"36.3 to 7750","Range of Values",6959,6959,NA
".","Missing",2481,9440,NA
