"SSXSCN.Code.or.Value","SSXSCN.Value.Description","SSXSCN.Count","SSXSCN.Cumulative","SSXSCN.Skip.to.Item"
"14 to 39000","Range of Values",2636,2636,NA
".","Missing",84,2720,NA
