"DXXSATA.Code.or.Value","DXXSATA.Value.Description","DXXSATA.Count","DXXSATA.Cumulative","DXXSATA.Skip.to.Item"
"20.5 to 1139.58","Range of Values",4055,4055,NA
".","Missing",1059,5114,NA
