"TYXP032.Code.or.Value","TYXP032.Value.Description","TYXP032.Count","TYXP032.Cumulative","TYXP032.Skip.to.Item"
"-16 to 190","Range of Values",5583,5583,NA
".","Missing",2,5585,NA
