"LBXVTO.Code.or.Value","LBXVTO.Value.Description","LBXVTO.Count","LBXVTO.Cumulative","LBXVTO.Skip.to.Item"
"0.018 to 18.1","Range of Values",2998,2998,NA
".","Missing",268,3266,NA
