"LBX087LA.Code.or.Value","LBX087LA.Value.Description","LBX087LA.Count","LBX087LA.Cumulative","LBX087LA.Skip.to.Item"
"0.02 to 39","Range of Values",1892,1892,NA
".","Missing",393,2285,NA
