"DTD100Q.Code.or.Value","DTD100Q.Value.Description","DTD100Q.Count","DTD100Q.Cumulative","DTD100Q.Skip.to.Item"
"0 to 45","Range of Values",7849,7849,NA
"777","Refused",3,7852,NA
"999","Don't know",6,7858,NA
".","Missing",683,8541,NA
