"LBDSHGLC.Code.or.Value","LBDSHGLC.Value.Description","LBDSHGLC.Count","LBDSHGLC.Cumulative","LBDSHGLC.Skip.to.Item"
"0","At or above the detection limit",6959,6959,NA
"1","Below lower detection limit",0,6959,NA
".","Missing",1062,8021,NA
